Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
2W ENERGIA SA,Brazil,,Corporate - Utilities,Green,1,0.00bn,October 2022,https://dl.luxse.com/dl?v=Vh98LePUEr3z5rik30SRYE58dvw5gLa/toV4ZGWe0upNJ+sd7D0eZ/HLZwnefZ5OBDIYUgjdjiNYU/RvShoWDuY8rBgxSN2Y9ft/JHv7v5ASZuTAYAgS8aeIAvjjinRO,Other,October 2022
360 ENERGY SOLAR SA,Argentina,,Corporate - Energy,Green,4,0.10bn,October 2024,https://dl.luxse.com/dl?v=90x0BF2XvNz5jVlHMy0eq2Kf1umEUxnpe1J+Cl+EVHdw8waeyIpggU3JpDnXdt2eusllyKhGkaoGsLZkycLbaREigt6BUGO32jsM48MHfUzRcYzXI8kIQUEJokudE5wN,Fitch Ratings,October 2024
A.P. MOLLER - MAERSK A/S,Denmark,,Corporate - Industrials,Green,5,2.40bn,,,S&P,February 2024
A2A S.P.A.,Italy,,Corporate - Utilities,Green,6,3.68bn,,,V.E,February 2022
A2A S.P.A.,Italy,,Corporate - Utilities,Sustainability Linked Bonds,2,1.14bn,,,V.E,February 2022
AAREAL BANK AG,Germany,,Financials - Consumer Finance,Green,5,1.63bn,October 2023,https://dl.luxse.com/dl?v=VmY9SSe13soye6o9EofqaD5OeJu5rC/UcYzUl64HQi2qLHRC/zbOuO1l4SpWNBwibrapszCKNTMFs+m8iwEBryKYTruxJsR+JTeAOOF27auD6Bl9dJqwSCRKDM1UYd+Q,Sustainalytics,October 2023
AARGAUISCHE KANTONALBANK,Switzerland,,Financials - Banking,Green,4,0.45bn,,,ISS ESG,August 2024
AAVAS FINANCIERS LTD,India,,Financials - Consumer Finance,Social,1,0.05bn,April 2021,https://dl.luxse.com/dl?v=+NgEZlP/kRm6UPWyXCJguJsBhX1LQpxXsneqBbhc4lGAkKScUXQPQ9dWdeFuRNH0BSLv6eU9B1jyIO2WphUMyv2m055boIef83AfVGs+fXlRx3bW38WUnnBdqvmQhYlv,Other,April 2021
AB ELECTROLUX (PUBL),Sweden,,Corporate - Consumer Discretionary,Green,3,0.35bn,,,Cicero,September 2022
AB IGNITIS GRUPE,Lithuania,,Corporate - Utilities,Green,2,0.69bn,,,Cicero,June 2017
